Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.28
0.0,10.0,84.0,99.97
0.0,10.0,126.0,100.0
0.0,10.0,168.0,100.0
0.0,30.0,42.0,99.71
0.0,30.0,84.0,99.69
0.0,30.0,126.0,99.97
0.0,30.0,168.0,100.0
0.0,50.0,42.0,98.32
0.0,50.0,84.0,98.72
0.0,50.0,126.0,99.74
0.0,50.0,168.0,98.86
0.0,100.0,42.0,97.6
0.0,100.0,84.0,99.31
0.0,100.0,126.0,98.64
0.0,100.0,168.0,99.06
0.0,150.0,42.0,96.22
0.0,150.0,84.0,96.76
0.0,150.0,126.0,95.37
0.0,150.0,168.0,97.78
0.1,10.0,42.0,99.94
0.1,10.0,84.0,100.0
0.1,10.0,126.0,100.0
0.1,10.0,168.0,100.0
0.1,30.0,42.0,98.43
0.1,30.0,84.0,99.86
0.1,30.0,126.0,99.99
0.1,30.0,168.0,99.67
0.1,50.0,42.0,95.68
0.1,50.0,84.0,99.0
0.1,50.0,126.0,99.29
0.1,50.0,168.0,99.99
0.1,100.0,42.0,94.51
0.1,100.0,84.0,96.32
0.1,100.0,126.0,96.14
0.1,100.0,168.0,0.0
0.1,150.0,42.0,86.94
0.1,150.0,84.0,91.86
0.1,150.0,126.0,91.89
0.1,150.0,168.0,93.94
1.0,10.0,42.0,99.93
1.0,10.0,84.0,99.96
1.0,10.0,126.0,100.0
1.0,10.0,168.0,99.78
1.0,30.0,42.0,89.4
1.0,30.0,84.0,99.17
1.0,30.0,126.0,99.6
1.0,30.0,168.0,99.9
1.0,50.0,42.0,81.58
1.0,50.0,84.0,89.7
1.0,50.0,126.0,99.26
1.0,50.0,168.0,99.47
1.0,100.0,42.0,57.82
1.0,100.0,84.0,68.75
1.0,100.0,126.0,81.61
1.0,100.0,168.0,79.99
1.0,150.0,42.0,46.03
1.0,150.0,84.0,52.69
1.0,150.0,126.0,56.19
1.0,150.0,168.0,59.03
5.0,10.0,42.0,97.67
5.0,10.0,84.0,99.9
5.0,10.0,126.0,99.19
5.0,10.0,168.0,100.0
5.0,30.0,42.0,49.53
5.0,30.0,84.0,88.1
5.0,30.0,126.0,95.89
5.0,30.0,168.0,98.35
5.0,50.0,42.0,25.95
5.0,50.0,84.0,45.1
5.0,50.0,126.0,81.7
5.0,50.0,168.0,88.21
5.0,100.0,42.0,11.33
5.0,100.0,84.0,15.11
5.0,100.0,126.0,24.11
5.0,100.0,168.0,37.25
5.0,150.0,42.0,7.35
5.0,150.0,84.0,8.59
5.0,150.0,126.0,11.51
5.0,150.0,168.0,13.16
10.0,10.0,42.0,91.4
10.0,10.0,84.0,99.33
10.0,10.0,126.0,97.75
10.0,10.0,168.0,97.95
10.0,30.0,42.0,41.72
10.0,30.0,84.0,65.93
10.0,30.0,126.0,85.21
10.0,30.0,168.0,91.4
10.0,50.0,42.0,8.17
10.0,50.0,84.0,21.58
10.0,50.0,126.0,58.3
10.0,50.0,168.0,67.87
10.0,100.0,42.0,3.73
10.0,100.0,84.0,4.75
10.0,100.0,126.0,6.53
10.0,100.0,168.0,14.28
10.0,150.0,42.0,3.29
10.0,150.0,84.0,3.17
10.0,150.0,126.0,2.85
10.0,150.0,168.0,3.17
