Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.94
0.0,10.0,84.0,100.0
0.0,10.0,126.0,100.0
0.0,10.0,168.0,100.0
0.0,30.0,42.0,99.58
0.0,30.0,84.0,99.51
0.0,30.0,126.0,99.96
0.0,30.0,168.0,100.0
0.0,50.0,42.0,97.79
0.0,50.0,84.0,99.08
0.0,50.0,126.0,98.62
0.0,50.0,168.0,99.94
0.0,100.0,42.0,96.16
0.0,100.0,84.0,96.54
0.0,100.0,126.0,98.12
0.0,100.0,168.0,98.72
0.0,150.0,42.0,94.69
0.0,150.0,84.0,94.83
0.0,150.0,126.0,95.52
0.0,150.0,168.0,95.39
0.1,10.0,42.0,99.94
0.1,10.0,84.0,99.96
0.1,10.0,126.0,99.96
0.1,10.0,168.0,100.0
0.1,30.0,42.0,97.08
0.1,30.0,84.0,99.49
0.1,30.0,126.0,99.74
0.1,30.0,168.0,99.7
0.1,50.0,42.0,95.82
0.1,50.0,84.0,96.04
0.1,50.0,126.0,98.21
0.1,50.0,168.0,98.96
0.1,100.0,42.0,90.24
0.1,100.0,84.0,91.47
0.1,100.0,126.0,93.75
0.1,100.0,168.0,95.44
0.1,150.0,42.0,86.05
0.1,150.0,84.0,85.46
0.1,150.0,126.0,87.16
0.1,150.0,168.0,91.37
1.0,10.0,42.0,98.89
1.0,10.0,84.0,99.57
1.0,10.0,126.0,99.72
1.0,10.0,168.0,99.92
1.0,30.0,42.0,86.88
1.0,30.0,84.0,98.17
1.0,30.0,126.0,99.36
1.0,30.0,168.0,99.76
1.0,50.0,42.0,73.72
1.0,50.0,84.0,78.54
1.0,50.0,126.0,96.18
1.0,50.0,168.0,98.12
1.0,100.0,42.0,51.61
1.0,100.0,84.0,59.53
1.0,100.0,126.0,65.45
1.0,100.0,168.0,76.93
1.0,150.0,42.0,37.22
1.0,150.0,84.0,40.22
1.0,150.0,126.0,45.35
1.0,150.0,168.0,54.69
5.0,10.0,42.0,86.73
5.0,10.0,84.0,92.98
5.0,10.0,126.0,93.76
5.0,10.0,168.0,96.21
5.0,30.0,42.0,51.9
5.0,30.0,84.0,88.39
5.0,30.0,126.0,95.9
5.0,30.0,168.0,97.65
5.0,50.0,42.0,20.63
5.0,50.0,84.0,50.33
5.0,50.0,126.0,74.55
5.0,50.0,168.0,89.34
5.0,100.0,42.0,5.56
5.0,100.0,84.0,10.04
5.0,100.0,126.0,14.7
5.0,100.0,168.0,23.24
5.0,150.0,42.0,2.13
5.0,150.0,84.0,5.35
5.0,150.0,126.0,4.21
5.0,150.0,168.0,5.66
10.0,10.0,42.0,62.43
10.0,10.0,84.0,80.06
10.0,10.0,126.0,84.92
10.0,10.0,168.0,87.56
10.0,30.0,42.0,20.6
10.0,30.0,84.0,81.07
10.0,30.0,126.0,80.06
10.0,30.0,168.0,91.45
10.0,50.0,42.0,6.48
10.0,50.0,84.0,16.05
10.0,50.0,126.0,52.62
10.0,50.0,168.0,79.24
10.0,100.0,42.0,1.15
10.0,100.0,84.0,1.37
10.0,100.0,126.0,1.51
10.0,100.0,168.0,6.43
10.0,150.0,42.0,0.28
10.0,150.0,84.0,0.22
10.0,150.0,126.0,0.74
10.0,150.0,168.0,0.63
