Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.9
0.0,10.0,84.0,99.37
0.0,10.0,126.0,100.0
0.0,10.0,168.0,100.0
0.0,30.0,42.0,99.17
0.0,30.0,84.0,99.57
0.0,30.0,126.0,100.0
0.0,30.0,168.0,99.9
0.0,50.0,42.0,98.43
0.0,50.0,84.0,99.01
0.0,50.0,126.0,98.74
0.0,50.0,168.0,99.94
0.0,100.0,42.0,96.84
0.0,100.0,84.0,98.33
0.0,100.0,126.0,95.78
0.0,100.0,168.0,98.71
0.0,150.0,42.0,96.98
0.0,150.0,84.0,97.04
0.0,150.0,126.0,97.08
0.0,150.0,168.0,97.37
0.1,10.0,42.0,99.93
0.1,10.0,84.0,100.0
0.1,10.0,126.0,100.0
0.1,10.0,168.0,99.99
0.1,30.0,42.0,99.14
0.1,30.0,84.0,99.79
0.1,30.0,126.0,99.99
0.1,30.0,168.0,99.97
0.1,50.0,42.0,98.53
0.1,50.0,84.0,98.72
0.1,50.0,126.0,99.69
0.1,50.0,168.0,98.36
0.1,100.0,42.0,97.81
0.1,100.0,84.0,97.48
0.1,100.0,126.0,97.96
0.1,100.0,168.0,97.74
0.1,150.0,42.0,95.23
0.1,150.0,84.0,95.79
0.1,150.0,126.0,95.75
0.1,150.0,168.0,96.14
1.0,10.0,42.0,99.68
1.0,10.0,84.0,99.96
1.0,10.0,126.0,99.99
1.0,10.0,168.0,97.86
1.0,30.0,42.0,93.48
1.0,30.0,84.0,99.67
1.0,30.0,126.0,99.9
1.0,30.0,168.0,99.97
1.0,50.0,42.0,89.81
1.0,50.0,84.0,91.37
1.0,50.0,126.0,99.32
1.0,50.0,168.0,98.23
1.0,100.0,42.0,79.19
1.0,100.0,84.0,83.46
1.0,100.0,126.0,87.56
1.0,100.0,168.0,86.45
1.0,150.0,42.0,75.76
1.0,150.0,84.0,81.03
1.0,150.0,126.0,83.72
1.0,150.0,168.0,86.13
5.0,10.0,42.0,99.35
5.0,10.0,84.0,99.44
5.0,10.0,126.0,100.0
5.0,10.0,168.0,100.0
5.0,30.0,42.0,62.79
5.0,30.0,84.0,93.36
5.0,30.0,126.0,97.92
5.0,30.0,168.0,98.85
5.0,50.0,42.0,52.98
5.0,50.0,84.0,65.96
5.0,50.0,126.0,91.16
5.0,50.0,168.0,94.82
5.0,100.0,42.0,52.4
5.0,100.0,84.0,58.88
5.0,100.0,126.0,58.49
5.0,100.0,168.0,61.08
5.0,150.0,42.0,58.32
5.0,150.0,84.0,56.29
5.0,150.0,126.0,54.71
5.0,150.0,168.0,54.97
10.0,10.0,42.0,95.29
10.0,10.0,84.0,99.89
10.0,10.0,126.0,99.93
10.0,10.0,168.0,100.0
10.0,30.0,42.0,46.09
10.0,30.0,84.0,80.57
10.0,30.0,126.0,94.3
10.0,30.0,168.0,98.89
10.0,50.0,42.0,32.58
10.0,50.0,84.0,46.28
10.0,50.0,126.0,82.23
10.0,50.0,168.0,89.7
10.0,100.0,42.0,37.22
10.0,100.0,84.0,32.87
10.0,100.0,126.0,32.63
10.0,100.0,168.0,38.59
10.0,150.0,42.0,32.68
10.0,150.0,84.0,34.36
10.0,150.0,126.0,35.01
10.0,150.0,168.0,43.17
