Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.97
0.0,10.0,84.0,99.92
0.0,10.0,126.0,99.99
0.0,10.0,168.0,100.0
0.0,30.0,42.0,98.85
0.0,30.0,84.0,99.92
0.0,30.0,126.0,99.9
0.0,30.0,168.0,99.96
0.0,50.0,42.0,99.03
0.0,50.0,84.0,98.97
0.0,50.0,126.0,99.08
0.0,50.0,168.0,99.14
0.0,100.0,42.0,96.26
0.0,100.0,84.0,97.35
0.0,100.0,126.0,98.0
0.0,100.0,168.0,98.37
0.0,150.0,42.0,95.93
0.0,150.0,84.0,96.07
0.0,150.0,126.0,95.72
0.0,150.0,168.0,96.47
0.1,10.0,42.0,98.96
0.1,10.0,84.0,99.97
0.1,10.0,126.0,99.99
0.1,10.0,168.0,100.0
0.1,30.0,42.0,99.35
0.1,30.0,84.0,99.75
0.1,30.0,126.0,99.97
0.1,30.0,168.0,100.0
0.1,50.0,42.0,98.79
0.1,50.0,84.0,98.79
0.1,50.0,126.0,99.53
0.1,50.0,168.0,99.93
0.1,100.0,42.0,95.01
0.1,100.0,84.0,96.94
0.1,100.0,126.0,97.19
0.1,100.0,168.0,98.68
0.1,150.0,42.0,92.59
0.1,150.0,84.0,95.65
0.1,150.0,126.0,97.16
0.1,150.0,168.0,95.62
1.0,10.0,42.0,99.65
1.0,10.0,84.0,100.0
1.0,10.0,126.0,100.0
1.0,10.0,168.0,100.0
1.0,30.0,42.0,99.29
1.0,30.0,84.0,99.9
1.0,30.0,126.0,99.85
1.0,30.0,168.0,99.96
1.0,50.0,42.0,94.87
1.0,50.0,84.0,97.75
1.0,50.0,126.0,98.68
1.0,50.0,168.0,99.6
1.0,100.0,42.0,88.23
1.0,100.0,84.0,92.76
1.0,100.0,126.0,95.59
1.0,100.0,168.0,94.4
1.0,150.0,42.0,87.16
1.0,150.0,84.0,89.16
1.0,150.0,126.0,95.04
1.0,150.0,168.0,93.52
5.0,10.0,42.0,99.41
5.0,10.0,84.0,99.67
5.0,10.0,126.0,99.96
5.0,10.0,168.0,99.99
5.0,30.0,42.0,92.34
5.0,30.0,84.0,96.87
5.0,30.0,126.0,96.79
5.0,30.0,168.0,99.94
5.0,50.0,42.0,88.49
5.0,50.0,84.0,95.86
5.0,50.0,126.0,97.62
5.0,50.0,168.0,99.24
5.0,100.0,42.0,93.38
5.0,100.0,84.0,96.15
5.0,100.0,126.0,96.23
5.0,100.0,168.0,90.49
5.0,150.0,42.0,93.94
5.0,150.0,84.0,95.43
5.0,150.0,126.0,94.72
5.0,150.0,168.0,96.18
10.0,10.0,42.0,97.15
10.0,10.0,84.0,98.55
10.0,10.0,126.0,99.9
10.0,10.0,168.0,98.12
10.0,30.0,42.0,89.37
10.0,30.0,84.0,96.22
10.0,30.0,126.0,98.85
10.0,30.0,168.0,99.74
10.0,50.0,42.0,94.91
10.0,50.0,84.0,89.37
10.0,50.0,126.0,98.97
10.0,50.0,168.0,99.6
10.0,100.0,42.0,95.05
10.0,100.0,84.0,87.09
10.0,100.0,126.0,95.47
10.0,100.0,168.0,96.08
10.0,150.0,42.0,92.94
10.0,150.0,84.0,93.77
10.0,150.0,126.0,94.72
10.0,150.0,168.0,94.95
