Loss (%),Delay (ms),Buffer Delay (ms),Useful Frames (%)
0.0,10.0,42.0,99.79
0.0,10.0,84.0,99.79
0.0,10.0,126.0,100.0
0.0,10.0,168.0,99.58
0.0,30.0,42.0,99.17
0.0,30.0,84.0,99.58
0.0,30.0,126.0,99.58
0.0,30.0,168.0,100.0
0.0,50.0,42.0,100.0
0.0,50.0,84.0,99.79
0.0,50.0,126.0,99.79
0.0,50.0,168.0,99.58
0.0,100.0,42.0,99.79
0.0,100.0,84.0,99.79
0.0,100.0,126.0,99.79
0.0,100.0,168.0,99.17
0.0,150.0,42.0,99.58
0.0,150.0,84.0,99.79
0.0,150.0,126.0,99.58
0.0,150.0,168.0,99.79
0.1,10.0,42.0,99.58
0.1,10.0,84.0,99.79
0.1,10.0,126.0,99.79
0.1,10.0,168.0,99.58
0.1,30.0,42.0,99.58
0.1,30.0,84.0,99.37
0.1,30.0,126.0,99.79
0.1,30.0,168.0,99.79
0.1,50.0,42.0,99.37
0.1,50.0,84.0,99.58
0.1,50.0,126.0,99.58
0.1,50.0,168.0,99.79
0.1,100.0,42.0,99.17
0.1,100.0,84.0,99.79
0.1,100.0,126.0,99.58
0.1,100.0,168.0,99.79
0.1,150.0,42.0,99.79
0.1,150.0,84.0,100.0
0.1,150.0,126.0,99.58
0.1,150.0,168.0,100.0
1.0,10.0,42.0,99.79
1.0,10.0,84.0,99.58
1.0,10.0,126.0,99.79
1.0,10.0,168.0,99.37
1.0,30.0,42.0,99.58
1.0,30.0,84.0,99.58
1.0,30.0,126.0,99.37
1.0,30.0,168.0,100.0
1.0,50.0,42.0,99.79
1.0,50.0,84.0,99.58
1.0,50.0,126.0,99.58
1.0,50.0,168.0,99.79
1.0,100.0,42.0,100.0
1.0,100.0,84.0,99.58
1.0,100.0,126.0,99.58
1.0,100.0,168.0,99.79
1.0,150.0,42.0,100.0
1.0,150.0,84.0,99.79
1.0,150.0,126.0,99.79
1.0,150.0,168.0,100.0
5.0,10.0,42.0,99.78
5.0,10.0,84.0,99.58
5.0,10.0,126.0,99.36
5.0,10.0,168.0,99.39
5.0,30.0,42.0,99.58
5.0,30.0,84.0,100.0
5.0,30.0,126.0,99.58
5.0,30.0,168.0,99.99
5.0,50.0,42.0,99.35
5.0,50.0,84.0,99.58
5.0,50.0,126.0,99.57
5.0,50.0,168.0,99.79
5.0,100.0,42.0,98.96
5.0,100.0,84.0,99.54
5.0,100.0,126.0,79.58
5.0,100.0,168.0,99.17
5.0,150.0,42.0,99.69
5.0,150.0,84.0,99.58
5.0,150.0,126.0,99.79
5.0,150.0,168.0,99.36
10.0,10.0,42.0,98.22
10.0,10.0,84.0,98.47
10.0,10.0,126.0,98.21
10.0,10.0,168.0,99.12
10.0,30.0,42.0,99.49
10.0,30.0,84.0,98.71
10.0,30.0,126.0,98.47
10.0,30.0,168.0,98.35
10.0,50.0,42.0,97.97
10.0,50.0,84.0,98.49
10.0,50.0,126.0,98.92
10.0,50.0,168.0,98.26
10.0,100.0,42.0,97.69
10.0,100.0,84.0,98.47
10.0,100.0,126.0,78.49
10.0,100.0,168.0,98.04
10.0,150.0,42.0,97.92
10.0,150.0,84.0,78.67
10.0,150.0,126.0,99.1
10.0,150.0,168.0,98.0
